windowSec,maxSpeedKmh,maxSpeedEqKmh
5,10.877842555732974,11.286104548144422
10,10.751616315545586,11.06692184460386
15,10.574648034634283,10.98862731732588
20,10.45191958304271,10.792504903040882
30,10.374867712768028,10.527159992576195
60,10.062402456042074,10.328503619295399
120,9.90512609927825,10.11175149157617
180,9.776733968567886,10.028340820458398
300,9.655901559575467,9.836568212038847
600,,
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
