windowSec,maxSpeedKmh,maxSpeedEqKmh
5,27.762947268738127,33.550275413733154
10,27.381199121063865,28.79755205782763
15,26.977772347369903,28.21590068425352
20,26.699948927706807,27.81169209191723
30,25.805997804239393,26.761532074005245
60,23.758991402873004,24.423393939631662
120,23.192276676819695,23.487807858056208
180,22.76549812204067,23.076168307745213
300,22.114306656128733,22.013492102054563
600,21.648415163509597,21.72904779800134
900,21.161065514900752,21.12494702737452
1200,21.161065514900752,21.12494702737452
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
