windowSec,maxSpeedKmh,maxSpeedEqKmh
5,18.651347666162884,26.347842052828224
10,17.06869580473907,20.814819285469007
15,16.285778089910373,18.82048846065327
20,15.364661981259824,17.21297898229734
30,13.518778468825994,14.912296090134666
60,11.017011215690541,11.58590988549689
120,10.675929974087998,11.304180444707333
180,10.411180389452033,10.814356201335992
300,10.348005567608299,10.675038484649297
600,,
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
