windowSec,maxSpeedKmh,maxSpeedEqKmh
5,27.790887620643975,33.073497947225114
10,26.61109017164794,29.74430896949294
15,25.311784509215705,27.006672720733167
20,24.591005794019548,26.30681967776606
30,24.216089000071666,25.655729329917172
60,23.639627249895092,25.105985640843368
120,23.177163235264796,24.452554364255874
180,22.774154558808334,23.503900514380838
300,22.01210180272446,22.636498927282947
600,20.369426206078533,20.70918640517264
900,20.369426206078533,20.70918640517264
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
