windowSec,maxSpeedKmh,maxSpeedEqKmh
5,7.384038521290523,18.143348567763105
10,6.763347219197523,14.354104746408447
15,6.200010730414573,13.292938506863765
20,5.836463998159323,13.043061198002107
30,5.710945693555373,12.478270497193906
60,4.750136720358711,9.439073505296042
120,2.6094547295080086,5.824417541249925
180,2.6094547295080086,5.720406364200834
300,,
600,,
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
