windowSec,maxSpeedKmh,maxSpeedEqKmh
5,28.453175883236412,31.062906709432855
10,28.024069253274593,28.305271776425553
15,27.727065114754666,27.841802402310183
20,27.376326793754725,27.52839671322185
30,26.281348442131776,26.216170781353306
60,25.69767950389062,25.505971898735822
120,24.68067480158529,24.499245864784466
180,24.051431410332977,23.646045428291224
300,23.814741541857746,23.34986099598007
600,23.03663161468726,22.528495077542868
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
