windowSec,maxSpeedKmh,maxSpeedEqKmh
5,16.971846467622605,20.427465854549087
10,16.085613766736426,19.4847440113132
15,14.959863257674275,17.64964345227904
20,14.074147665310505,15.934882937838916
30,14.074147665310505,15.574679876870471
60,12.905470291134277,13.628494904803414
120,12.758010660284773,13.279857513985986
180,12.338928085107435,12.815925707744562
300,11.899013948247859,12.36126358250942
600,11.471345947493907,11.933454593136453
900,11.440264930012793,11.729880057869016
1200,11.412334374606123,11.665886393526797
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
