windowSec,maxSpeedKmh,maxSpeedEqKmh
5,15.368775877797983,15.457687147611855
10,15.115289932362,14.836213331509004
15,14.831794511034012,14.709556447557523
20,14.711077215698666,14.566904292191742
30,14.581929876385571,14.158528243973143
60,14.352388239888509,13.821654722375232
120,14.155211070716355,13.687870882860718
180,13.546504410323028,13.135419069860223
300,,
600,,
900,,
1200,,
1500,,
1800,,
2100,,
2400,,
2700,,
3000,,
3300,,
3600,,
4500,,
5400,,
7200,,
9000,,
12600,,
14400,,
18000,,
21600,,
23400,,
27000,,
30600,,
34200,,
36000,,
45000,,
54000,,
72000,,
90000,,
